District,LAD_Name,Region_Code,Region_Name,D,F,S,T,Total
KNOWSLEY,Knowsley,E12000002,North West,5,1,11,11,28
LAMBETH,Lambeth,E12000007,London,0,38,3,17,58
LANCASTER,Lancaster,E12000002,North West,11,3,14,18,46
LEEDS,Leeds,E12000003,Yorkshire and The Humber,41,42,75,92,250
LEICESTER,Leicester,E12000004,East Midlands,7,12,22,34,75
LEWES,Lewes,E12000008,South East,11,4,9,9,33
LEWISHAM,Lewisham,E12000007,London,0,35,8,23,66
LICHFIELD,Lichfield,E12000005,West Midlands,20,2,15,6,43
LINCOLN,Lincoln,E12000004,East Midlands,6,2,12,14,34
LIVERPOOL,Liverpool,E12000002,North West,2,21,25,68,116
LUTON,Luton,E12000006,East of England,5,10,22,15,52
MAIDSTONE,Maidstone,E12000008,South East,12,4,21,23,60
MALDON,Maldon,E12000006,East of England,10,1,7,3,21
MALVERN HILLS,Malvern Hills,E12000005,West Midlands,10,0,12,3,25
MANCHESTER,Manchester,E12000002,North West,7,38,38,60,143
MANSFIELD,Mansfield,E12000004,East Midlands,13,4,5,9,31
MEDWAY,Medway,E12000008,South East,18,16,26,46,106
MELTON,Melton,E12000004,East Midlands,7,0,11,5,23
MERTON,Merton,E12000007,London,2,17,7,26,52
MID DEVON,Mid Devon,E12000009,South West,10,4,8,8,30
MID SUFFOLK,Mid Suffolk,E12000006,East of England,11,0,5,7,23
MID SUSSEX,Mid Sussex,E12000008,South East,12,11,16,9,48
MIDDLESBROUGH,Middlesbrough,E12000001,North East,5,6,12,22,45
MILTON KEYNES,Milton Keynes,E12000008,South East,16,11,26,23,76
MOLE VALLEY,Mole Valley,E12000008,South East,7,2,7,1,17
NEW FOREST,New Forest,E12000008,South East,28,5,10,10,53
NEWARK AND SHERWOOD,Newark and Sherwood,E12000004,East Midlands,22,0,14,6,42
NEWCASTLE UPON TYNE,Newcastle upon Tyne,E12000001,North East,7,21,20,24,72
NEWCASTLE-UNDER-LYME,Newcastle-under-Lyme,E12000005,West Midlands,14,6,28,11,59
NEWHAM,Newham,E12000007,London,1,14,1,20,36
NORTH DEVON,North Devon,E12000009,South West,12,4,8,10,34
NORTH EAST DERBYSHIRE,North East Derbyshire,E12000004,East Midlands,13,1,9,2,25
NORTH EAST LINCOLNSHIRE,North East Lincolnshire,E12000003,Yorkshire and The Humber,13,5,20,35,73
NORTH HERTFORDSHIRE,North Hertfordshire,E12000006,East of England,10,15,9,21,55
NORTH KESTEVEN,North Kesteven,E12000004,East Midlands,26,2,9,3,40
NORTH LINCOLNSHIRE,North Lincolnshire,E12000003,Yorkshire and The Humber,23,0,23,12,58
NORTH NORFOLK,North Norfolk,E12000006,East of England,25,2,10,10,47
NORTH NORTHAMPTONSHIRE,North Northamptonshire,E12000004,East Midlands,40,3,44,30,117
NORTH SOMERSET,North Somerset,E12000009,South West,29,16,21,34,100
NORTH TYNESIDE,North Tyneside,E12000001,North East,13,15,23,28,79
NORTH WARWICKSHIRE,North Warwickshire,E12000005,West Midlands,4,1,4,7,16
NORTH WEST LEICESTERSHIRE,North West Leicestershire,E12000004,East Midlands,20,1,13,9,43
NORTHUMBERLAND,Northumberland,E12000001,North East,30,10,33,39,112
NORWICH,Norwich,E12000006,East of England,8,18,12,28,66
NUNEATON AND BEDWORTH,Nuneaton and Bedworth,E12000005,West Midlands,6,2,12,6,26
OADBY AND WIGSTON,Oadby and Wigston,E12000004,East Midlands,5,0,2,0,7
OLDHAM,Oldham,E12000002,North West,6,6,14,29,55
OXFORD,Oxford,E12000008,South East,1,10,11,15,37
PENDLE,Pendle,E12000002,North West,7,0,7,32,46
PORTSMOUTH,Portsmouth,E12000008,South East,0,13,10,55,78
PRESTON,Preston,E12000002,North West,7,1,10,15,33
READING,Reading,E12000008,South East,2,9,8,25,44
REDBRIDGE,Redbridge,E12000007,London,2,23,15,27,67
REDCAR AND CLEVELAND,Redcar and Cleveland,E12000001,North East,11,1,24,23,59
REDDITCH,Redditch,E12000005,West Midlands,4,1,5,1,11
REIGATE AND BANSTEAD,Reigate and Banstead,E12000008,South East,8,12,22,7,49
RIBBLE VALLEY,Ribble Valley,E12000002,North West,8,2,5,11,26
RICHMOND UPON THAMES,Richmond upon Thames,E12000007,London,2,22,15,20,59
ROCHDALE,Rochdale,E12000002,North West,8,5,13,32,58
ROCHFORD,Rochford,E12000006,East of England,19,4,17,3,43
ROSSENDALE,Rossendale,E12000002,North West,3,0,3,12,18
ROTHER,Rother,E12000008,South East,15,7,6,4,32
ROTHERHAM,Rotherham,E12000003,Yorkshire and The Humber,21,1,26,19,67
RUGBY,Rugby,E12000005,West Midlands,13,3,11,8,35
RUNNYMEDE,Runnymede,E12000008,South East,9,7,9,6,31
RUSHCLIFFE,Rushcliffe,E12000004,East Midlands,17,4,14,10,45
RUSHMOOR,Rushmoor,E12000008,South East,9,4,11,9,33
RUTLAND,Rutland,E12000004,East Midlands,5,0,6,6,17
SALFORD,Salford,E12000002,North West,10,21,33,28,92
SANDWELL,Sandwell,E12000005,West Midlands,4,1,23,23,51
SEFTON,Sefton,E12000002,North West,13,9,33,16,71
SEVENOAKS,Sevenoaks,E12000008,South East,10,4,19,10,43
SHEFFIELD,Sheffield,E12000003,Yorkshire and The Humber,14,16,54,49,133
SHROPSHIRE,Shropshire,E12000005,West Midlands,46,10,36,26,118
SLOUGH,Slough,E12000008,South East,2,5,4,10,21
SOLIHULL,Solihull,E12000005,West Midlands,14,12,28,9,63
SOUTH CAMBRIDGESHIRE,South Cambridgeshire,E12000006,East of England,20,1,10,13,44
SOUTH DERBYSHIRE,South Derbyshire,E12000004,East Midlands,22,0,20,5,47
SOUTH GLOUCESTERSHIRE,South Gloucestershire,E12000009,South West,15,12,26,36,89
SOUTH HAMS,South Hams,E12000009,South West,13,1,7,20,41
SOUTH HOLLAND,South Holland,E12000004,East Midlands,20,0,15,4,39
SOUTH KESTEVEN,South Kesteven,E12000004,East Midlands,25,4,10,22,61
SOUTH NORFOLK,South Norfolk,E12000006,East of England,31,1,28,7,67
SOUTH OXFORDSHIRE,South Oxfordshire,E12000008,South East,11,7,15,11,44
SOUTH RIBBLE,South Ribble,E12000002,North West,8,1,18,10,37
SOUTH STAFFORDSHIRE,South Staffordshire,E12000005,West Midlands,13,2,15,1,31
SOUTH TYNESIDE,South Tyneside,E12000001,North East,8,12,19,19,58
SOUTHAMPTON,Southampton,E12000008,South East,3,12,17,15,47
SOUTHEND-ON-SEA,Southend-on-Sea,E12000006,East of England,14,20,20,14,68
SOUTHWARK,Southwark,E12000007,London,0,51,1,19,71
SPELTHORNE,Spelthorne,E12000008,South East,11,10,12,12,45
ST ALBANS,St Albans,E12000006,East of England,11,10,13,20,54
STAFFORD,Stafford,E12000005,West Midlands,18,4,17,11,50
STAFFORDSHIRE MOORLANDS,Staffordshire Moorlands,E12000005,West Midlands,15,0,11,14,40
STEVENAGE,Stevenage,E12000006,East of England,6,3,3,13,25
STOCKPORT,Stockport,E12000002,North West,12,9,36,39,96
STOCKTON-ON-TEES,Stockton-on-Tees,E12000001,North East,28,3,19,22,72
STOKE-ON-TRENT,Stoke-on-Trent,E12000005,West Midlands,12,3,41,41,97
STRATFORD-ON-AVON,Stratford-on-Avon,E12000005,West Midlands,22,3,17,8,50
STROUD,Stroud,E12000009,South West,15,6,20,5,46
SUNDERLAND,Sunderland,E12000001,North East,8,7,20,22,57
SURREY HEATH,Surrey Heath,E12000008,South East,11,7,13,3,34
SUTTON,Sutton,E12000007,London,3,13,13,17,46
SWALE,Swale,E12000008,South East,10,3,23,35,71
SWINDON,Swindon,E12000009,South West,15,12,22,33,82
TAMESIDE,Tameside,E12000002,North West,5,5,20,36,66
TAMWORTH,Tamworth,E12000005,West Midlands,5,3,9,2,19
